STDR_YYQU_CD,행정동코드,행정동명,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,STOR_CO,SIMILR_INDUTY_STOR_CO,OPBIZ_STOR_CO,CLSBIZ_STOR_CO,FRC_STOR_CO,CLSBIZ_RT
20191,11440565,공덕동,CS100001,한식음식점,205,220,3,7,15,3
20191,11440565,공덕동,CS100002,중식음식점,17,17,0,0,0,0
20191,11440565,공덕동,CS100003,일식음식점,17,22,0,1,5,5
20191,11440565,공덕동,CS100004,양식음식점,10,13,0,0,3,0
20191,11440565,공덕동,CS100005,제과점,11,16,2,0,5,0
20191,11440565,공덕동,CS100006,패스트푸드점,5,13,0,1,8,8
20191,11440565,공덕동,CS100007,치킨전문점,9,27,1,0,18,0
20191,11440565,공덕동,CS100008,분식전문점,30,40,0,1,10,3
20191,11440565,공덕동,CS100009,호프-간이주점,72,72,0,2,0,3
20191,11440565,공덕동,CS100010,커피-음료,44,56,1,2,12,4
20192,11440565,공덕동,CS100001,한식음식점,210,226,13,7,16,3
20192,11440565,공덕동,CS100002,중식음식점,19,19,2,0,0,0
20192,11440565,공덕동,CS100003,일식음식점,15,20,1,3,5,15
20192,11440565,공덕동,CS100004,양식음식점,9,12,0,1,3,8
20192,11440565,공덕동,CS100005,제과점,11,16,0,0,5,0
20192,11440565,공덕동,CS100006,패스트푸드점,5,12,0,1,7,8
20192,11440565,공덕동,CS100007,치킨전문점,9,26,0,1,17,4
20192,11440565,공덕동,CS100008,분식전문점,31,41,1,0,10,0
20192,11440565,공덕동,CS100009,호프-간이주점,73,73,4,3,0,4
20192,11440565,공덕동,CS100010,커피-음료,45,57,6,5,12,9
20193,11440565,공덕동,CS100001,한식음식점,207,222,7,11,15,5
20193,11440565,공덕동,CS100002,중식음식점,18,18,0,1,0,6
20193,11440565,공덕동,CS100003,일식음식점,15,20,0,0,5,0
20193,11440565,공덕동,CS100004,양식음식점,10,13,1,0,3,0
20193,11440565,공덕동,CS100005,제과점,11,16,1,1,5,6
20193,11440565,공덕동,CS100006,패스트푸드점,5,12,0,0,7,0
20193,11440565,공덕동,CS100007,치킨전문점,8,25,1,2,17,8
20193,11440565,공덕동,CS100008,분식전문점,31,41,2,2,10,5
20193,11440565,공덕동,CS100009,호프-간이주점,70,70,1,4,0,6
20193,11440565,공덕동,CS100010,커피-음료,45,58,4,3,13,5
20194,11440565,공덕동,CS100001,한식음식점,214,227,11,6,13,3
20194,11440565,공덕동,CS100002,중식음식점,19,19,1,0,0,0
20194,11440565,공덕동,CS100003,일식음식점,15,20,0,0,5,0
20194,11440565,공덕동,CS100004,양식음식점,12,15,2,0,3,0
20194,11440565,공덕동,CS100005,제과점,10,16,2,2,6,13
20194,11440565,공덕동,CS100006,패스트푸드점,5,13,1,0,8,0
20194,11440565,공덕동,CS100007,치킨전문점,7,26,4,3,19,12
20194,11440565,공덕동,CS100008,분식전문점,30,42,4,3,12,7
20194,11440565,공덕동,CS100009,호프-간이주점,67,67,0,3,0,5
20194,11440565,공덕동,CS100010,커피-음료,45,58,3,3,13,5
20201,11440565,공덕동,CS100001,한식음식점,214,228,5,4,14,2
20201,11440565,공덕동,CS100002,중식음식점,18,18,1,2,0,11
20201,11440565,공덕동,CS100003,일식음식점,16,21,1,0,5,0
20201,11440565,공덕동,CS100004,양식음식점,13,16,1,0,3,0
20201,11440565,공덕동,CS100005,제과점,11,17,1,0,6,0
20201,11440565,공덕동,CS100006,패스트푸드점,6,14,1,0,8,0
20201,11440565,공덕동,CS100007,치킨전문점,8,26,1,1,18,4
20201,11440565,공덕동,CS100008,분식전문점,31,43,2,1,12,2
20201,11440565,공덕동,CS100009,호프-간이주점,67,67,1,1,0,2
20201,11440565,공덕동,CS100010,커피-음료,46,59,3,2,13,3
20202,11440565,공덕동,CS100001,한식음식점,214,229,9,8,15,4
20202,11440565,공덕동,CS100002,중식음식점,18,18,0,0,0,0
20202,11440565,공덕동,CS100003,일식음식점,16,20,0,1,4,5
20202,11440565,공덕동,CS100004,양식음식점,13,16,0,0,3,0
20202,11440565,공덕동,CS100005,제과점,12,17,1,1,5,6
20202,11440565,공덕동,CS100006,패스트푸드점,5,13,1,2,8,15
20202,11440565,공덕동,CS100007,치킨전문점,9,26,1,1,17,4
20202,11440565,공덕동,CS100008,분식전문점,32,42,1,2,10,5
20202,11440565,공덕동,CS100009,호프-간이주점,68,68,5,4,0,6
20202,11440565,공덕동,CS100010,커피-음료,50,63,6,2,13,3
20203,11440565,공덕동,CS100001,한식음식점,214,229,9,8,15,4
20203,11440565,공덕동,CS100002,중식음식점,16,16,0,2,0,13
20203,11440565,공덕동,CS100003,일식음식점,17,21,2,2,4,10
20203,11440565,공덕동,CS100004,양식음식점,12,15,0,2,3,13
20203,11440565,공덕동,CS100005,제과점,12,17,0,1,5,6
20203,11440565,공덕동,CS100006,패스트푸드점,7,15,3,0,8,0
20203,11440565,공덕동,CS100007,치킨전문점,8,23,1,4,15,17
20203,11440565,공덕동,CS100008,분식전문점,32,44,4,3,12,7
20203,11440565,공덕동,CS100009,호프-간이주점,70,70,2,1,0,1
20203,11440565,공덕동,CS100010,커피-음료,52,65,5,3,13,5
20204,11440565,공덕동,CS100001,한식음식점,210,225,7,11,15,5
20204,11440565,공덕동,CS100002,중식음식점,17,17,2,1,0,6
20204,11440565,공덕동,CS100003,일식음식점,17,21,0,0,4,0
20204,11440565,공덕동,CS100004,양식음식점,14,17,2,0,3,0
20204,11440565,공덕동,CS100005,제과점,12,17,1,1,5,6
20204,11440565,공덕동,CS100006,패스트푸드점,7,15,0,0,8,0
20204,11440565,공덕동,CS100007,치킨전문점,8,23,0,0,15,0
20204,11440565,공덕동,CS100008,분식전문점,31,43,1,2,12,5
20204,11440565,공덕동,CS100009,호프-간이주점,72,72,3,1,0,1
20204,11440565,공덕동,CS100010,커피-음료,55,68,4,1,13,2
20211,11440565,공덕동,CS100001,한식음식점,210,225,9,9,15,4
20211,11440565,공덕동,CS100002,중식음식점,18,18,3,2,0,11
20211,11440565,공덕동,CS100003,일식음식점,17,20,0,1,3,5
20211,11440565,공덕동,CS100004,양식음식점,17,20,3,0,3,0
20211,11440565,공덕동,CS100005,제과점,14,18,2,1,4,6
20211,11440565,공덕동,CS100006,패스트푸드점,8,16,2,1,8,6
20211,11440565,공덕동,CS100007,치킨전문점,9,23,1,1,14,4
20211,11440565,공덕동,CS100008,분식전문점,31,43,3,3,12,7
20211,11440565,공덕동,CS100009,호프-간이주점,71,71,1,2,0,3
20211,11440565,공덕동,CS100010,커피-음료,56,69,2,1,13,1
20212,11440565,공덕동,CS100001,한식음식점,207,223,8,10,16,5
20212,11440565,공덕동,CS100002,중식음식점,16,16,0,2,0,13
20212,11440565,공덕동,CS100003,일식음식점,19,23,4,1,4,4
20212,11440565,공덕동,CS100004,양식음식점,15,20,4,4,5,20
20212,11440565,공덕동,CS100005,제과점,15,19,2,1,4,5
20212,11440565,공덕동,CS100006,패스트푸드점,8,18,2,0,10,0
20212,11440565,공덕동,CS100007,치킨전문점,8,23,3,3,15,13
20212,11440565,공덕동,CS100008,분식전문점,30,43,3,3,13,7
20212,11440565,공덕동,CS100009,호프-간이주점,68,68,2,5,0,7
20212,11440565,공덕동,CS100010,커피-음료,55,68,2,3,13,4
20213,11440565,공덕동,CS100001,한식음식점,210,227,5,1,17,0
20213,11440565,공덕동,CS100002,중식음식점,16,16,0,0,0,0
20213,11440565,공덕동,CS100003,일식음식점,20,24,1,0,4,0
20213,11440565,공덕동,CS100004,양식음식점,13,17,0,3,4,18
20213,11440565,공덕동,CS100005,제과점,16,20,1,0,4,0
20213,11440565,공덕동,CS100006,패스트푸드점,8,18,0,0,10,0
20213,11440565,공덕동,CS100007,치킨전문점,8,23,0,0,15,0
20213,11440565,공덕동,CS100008,분식전문점,29,43,1,1,14,2
20213,11440565,공덕동,CS100009,호프-간이주점,66,66,1,3,0,5
20213,11440565,공덕동,CS100010,커피-음료,58,71,6,3,13,4
20214,11440565,공덕동,CS100001,한식음식점,208,226,8,9,18,4
20214,11440565,공덕동,CS100002,중식음식점,16,16,1,1,0,6
20214,11440565,공덕동,CS100003,일식음식점,21,25,1,0,4,0
20214,11440565,공덕동,CS100004,양식음식점,13,17,0,0,4,0
20214,11440565,공덕동,CS100005,제과점,16,20,0,0,4,0
20214,11440565,공덕동,CS100006,패스트푸드점,7,18,1,1,11,6
20214,11440565,공덕동,CS100007,치킨전문점,7,22,0,1,15,5
20214,11440565,공덕동,CS100008,분식전문점,30,44,2,1,14,2
20214,11440565,공덕동,CS100009,호프-간이주점,62,62,0,4,0,7
20214,11440565,공덕동,CS100010,커피-음료,57,72,4,3,15,4
20221,11440565,공덕동,CS100001,한식음식점,203,222,4,8,19,4
20221,11440565,공덕동,CS100002,중식음식점,17,17,1,0,0,0
20221,11440565,공덕동,CS100003,일식음식점,23,27,2,0,4,0
20221,11440565,공덕동,CS100004,양식음식점,17,23,6,0,6,0
20221,11440565,공덕동,CS100005,제과점,17,20,1,1,3,5
20221,11440565,공덕동,CS100006,패스트푸드점,7,18,0,0,11,0
20221,11440565,공덕동,CS100007,치킨전문점,7,22,0,0,15,0
20221,11440565,공덕동,CS100008,분식전문점,29,44,2,2,15,5
20221,11440565,공덕동,CS100009,호프-간이주점,61,61,0,1,0,2
20221,11440565,공덕동,CS100010,커피-음료,59,74,2,0,15,0
20222,11440565,공덕동,CS100001,한식음식점,203,225,8,5,22,2
20222,11440565,공덕동,CS100002,중식음식점,18,18,3,2,0,11
20222,11440565,공덕동,CS100003,일식음식점,23,27,2,2,4,7
20222,11440565,공덕동,CS100004,양식음식점,19,25,3,1,6,4
20222,11440565,공덕동,CS100005,제과점,17,20,0,0,3,0
20222,11440565,공덕동,CS100006,패스트푸드점,8,19,2,1,11,5
20222,11440565,공덕동,CS100007,치킨전문점,7,22,0,0,15,0
20222,11440565,공덕동,CS100008,분식전문점,30,43,3,4,13,9
20222,11440565,공덕동,CS100009,호프-간이주점,58,58,0,3,0,5
20222,11440565,공덕동,CS100010,커피-음료,61,78,6,2,17,3
20223,11440565,공덕동,CS100001,한식음식점,200,221,5,9,21,4
20223,11440565,공덕동,CS100002,중식음식점,15,15,0,3,0,20
20223,11440565,공덕동,CS100003,일식음식점,24,28,2,1,4,4
20223,11440565,공덕동,CS100004,양식음식점,18,24,0,1,6,4
20223,11440565,공덕동,CS100005,제과점,20,25,5,0,5,0
20223,11440565,공덕동,CS100006,패스트푸드점,6,17,1,3,11,18
20223,11440565,공덕동,CS100007,치킨전문점,8,23,1,0,15,0
20223,11440565,공덕동,CS100008,분식전문점,30,43,1,1,13,2
20223,11440565,공덕동,CS100009,호프-간이주점,57,57,1,2,0,4
20223,11440565,공덕동,CS100010,커피-음료,61,77,4,5,16,7
20224,11440565,공덕동,CS100001,한식음식점,207,229,15,7,22,3
20224,11440565,공덕동,CS100002,중식음식점,15,15,1,1,0,7
20224,11440565,공덕동,CS100003,일식음식점,25,29,1,0,4,0
20224,11440565,공덕동,CS100004,양식음식점,21,29,5,0,8,0
20224,11440565,공덕동,CS100005,제과점,20,25,0,0,5,0
20224,11440565,공덕동,CS100006,패스트푸드점,7,17,1,1,10,6
20224,11440565,공덕동,CS100007,치킨전문점,8,24,1,0,16,0
20224,11440565,공덕동,CS100008,분식전문점,31,44,1,0,13,0
20224,11440565,공덕동,CS100009,호프-간이주점,53,54,1,4,1,7
20224,11440565,공덕동,CS100010,커피-음료,66,83,8,2,17,2
20231,11440565,공덕동,CS100001,한식음식점,204,227,3,5,23,2
20231,11440565,공덕동,CS100002,중식음식점,15,15,0,0,0,0
20231,11440565,공덕동,CS100003,일식음식점,25,29,1,1,4,3
20231,11440565,공덕동,CS100004,양식음식점,20,28,0,1,8,4
20231,11440565,공덕동,CS100005,제과점,20,25,1,1,5,4
20231,11440565,공덕동,CS100006,패스트푸드점,9,20,3,0,11,0
20231,11440565,공덕동,CS100007,치킨전문점,9,24,1,1,15,4
