quarter,dong_code,dong_name,industry_code,industry_name,store_count,monthly_sales,weekday_sales,weekend_sales,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,time_00_06_sales,time_06_11_sales,time_11_14_sales,time_14_17_sales,time_17_21_sales,time_21_24_sales,male_sales,female_sales,age_10_sales,age_20_sales,age_30_sales,age_40_sales,age_50_sales,age_60_above_sales,monthly_count,weekday_count,weekend_count,mon_count,tue_count,wed_count,thu_count,fri_count,sat_count,sun_count,time_00_06_count,time_06_11_count,time_11_14_count,time_14_17_count,time_17_21_count,time_21_24_count,male_count,female_count,age_10_count,age_20_count,age_30_count,age_40_count,age_50_count,age_60_above_count,extrapolation_flag,confidence,source,lower_95,upper_95,kosis_index
20191,11440555,아현동,CS100003,일식음식점,9,758262828,758262578,249,115668599,161192873,147184171,167101466,167115313,357,46,3288,17,116254407,1696033,425880803,214428279,442096927,316165900,19086,260056720,178541560,177637306,115805180,26202973,1871,1867,3,308,394,350,435,375,5,0,2,0,895,16,628,327,1032,839,7,493,513,556,220,81,False,0.7110000000000001,imputed_v4,,,111.4
20191,11440555,아현동,CS100004,양식음식점,6,1235647337,829606879,406040458,58163696,178322538,132232424,190387888,231923799,277765188,166851801,61132,937,285318621,242040313,683910506,24315825,597434019,638213318,2553830,435163909,355793077,241137511,158271291,42727716,9331,6787,2543,529,1416,1267,1553,1677,1791,1094,34,5,2866,1508,4250,666,4724,4607,97,3206,2782,1852,1161,230,True,0.4,extrapolated_v4,,,111.4
20191,11440555,아현동,CS100006,패스트푸드점,2,69161334,47749647,21411687,336138,11811881,11015959,13015860,11640816,11469518,9871160,21,336035,22382178,13908169,31762461,772469,32603622,36557712,195908,12683149,19077253,19450438,12003808,5750776,3075,2201,874,80,527,540,509,501,537,378,0,98,1065,539,1300,70,1353,1722,19,495,873,909,528,249,False,0.7110000000000001,imputed_v4,,,111.4
20191,11440600,대흥동,CS100007,치킨전문점,8,1163305461,848744046,314561415,139555166,142866290,159066815,191115520,202081158,169490317,159130192,104997702,1360,64518282,82534104,566563311,344690699,689140471,474164989,3188928,173170022,208090318,338318040,276213109,164325043,6302,4537,1765,740,582,892,967,1086,1144,888,557,3,246,484,3340,1670,3812,2489,37,895,1428,1660,1526,753,False,0.7110000000000001,imputed_v4,,,111.4
20191,11440610,염리동,CS100002,중식음식점,2,24753022,14960013,9793009,2935284,2662491,3794247,2755106,2729453,5642652,4233786,475399,184,35,223,338,24276842,14355625,10397397,19000,2687508,6773196,5112178,7714684,2446453,643,397,245,83,70,92,61,85,149,100,159,2,2,3,4,471,355,288,9,178,123,126,168,37,False,0.7110000000000001,imputed_v4,,,111.4
20191,11440630,신수동,CS100003,일식음식점,3,104371918,62390539,41981379,13844570,12053255,16605148,5188067,18918650,26013512,11748713,73916,5,46,20086,70930522,33347340,65867111,38504807,8,1023559,17421424,40468729,26727255,18730941,1152,778,373,125,164,208,125,190,234,103,31,1,3,12,648,455,666,486,4,107,231,473,230,104,False,0.7110000000000001,imputed_v4,,,111.4
20191,11440655,서강동,CS100007,치킨전문점,7,439148776,323988788,115159987,53478684,60592784,67841771,59832360,75557247,56787024,65058903,87951308,13,354592,15414026,165019283,170409551,256861464,182287311,2294542,98428642,81716165,102472539,96355619,57881265,2702,1845,857,395,327,363,365,398,423,428,375,0,23,143,1258,902,1559,1143,33,557,583,604,599,325,False,0.7110000000000001,imputed_v4,,,111.4
20191,11440700,망원2동,CS100003,일식음식점,7,1520887105,1164611511,356275594,207053213,254689292,270943943,265227789,253242839,261113583,8616443,84311,59899,390528771,200951927,903630659,25631535,842059298,678827807,9509807,628647209,357504175,286899484,200708884,37617543,9977,7777,2199,1388,1686,1601,1734,1680,1598,287,30,11,3262,1614,4673,386,5367,4610,173,4417,2107,1711,1296,271,True,0.4,extrapolated_v4,,,111.4
20191,11440700,망원2동,CS100004,양식음식점,6,601765456,341410634,260354822,925439,103198687,7235103,112610200,73610329,151388776,152796920,11923,720,195264099,123493041,282433658,562014,342320879,259444577,59192,170134998,181338134,130614871,89373023,30245236,5481,3720,1760,92,892,343,1039,870,1207,1035,5,2,2181,1022,2191,77,3043,2437,26,1746,1782,1132,636,157,False,0.7110000000000001,imputed_v4,,,111.4
20191,11440730,성산2동,CS100004,양식음식점,4,402770934,216198514,186572419,495,51434904,40892947,54036209,38958913,106109934,111337529,2435,7293,138152956,77511402,181493459,5603385,227648475,175122458,33217,94747139,95884499,104718705,78886245,28501126,6171,3776,2395,3,816,701,937,934,1337,1440,5,7,1934,1170,2888,165,3538,2632,22,1558,1674,1538,1051,326,False,0.7110000000000001,imputed_v4,,,111.4
20192,11440555,아현동,CS100003,일식음식점,10,754129488,754129131,357,119318069,163965977,150517066,158901976,161425956,392,49,1615,61,187535302,2148498,378082792,186361218,464066969,290062519,206,209582230,189714729,201919173,120325359,32587789,1798,1794,3,323,385,351,371,361,4,0,3,1,911,16,562,304,986,812,4,419,521,533,239,80,False,0.7110000000000001,imputed_v4,,,117.6
20192,11440555,아현동,CS100004,양식음식점,6,1275997663,849290005,426707658,80572975,182394461,130311703,192004923,238960499,288911391,162841709,80102,2535,267282908,220770988,736035783,51825345,595879532,680118131,5396767,428107090,370014482,256307686,167149212,49022424,9650,7037,2613,654,1464,1326,1553,1780,1778,1092,38,6,2931,1533,4421,718,4801,4848,121,3434,2891,1839,1119,243,True,0.4,extrapolated_v4,,,117.6
20192,11440555,아현동,CS100006,패스트푸드점,3,118846378,83380984,35465394,603252,19785759,17968925,22471488,21118557,18950441,17947953,673,2650766,39825975,22994629,52292217,1082115,58042072,60804306,520056,26667624,32906125,31329719,20697175,6725678,3889,2981,907,110,664,670,725,650,567,500,2,154,1427,693,1525,85,1736,2152,30,694,1133,1086,663,280,False,0.7110000000000001,imputed_v4,,,117.6
20192,11440600,대흥동,CS100007,치킨전문점,7,781533018,547749288,233783729,88561819,99811738,92932274,107837660,147741956,116019439,128628129,51866092,4827,69924105,59979912,394441271,205316808,466941427,314591590,1846774,128155055,139443421,211508028,161990638,138589099,5041,3471,1570,550,569,656,683,955,866,759,421,4,303,386,2752,1173,3059,1981,33,694,1132,1245,1276,658,False,0.7110000000000001,imputed_v4,,,117.6
20192,11440610,염리동,CS100002,중식음식점,2,23221223,14012992,9208231,2839305,2570126,3677948,2521875,2376058,5260631,3975277,525564,233,41,532,761,22694089,12954419,10266803,59758,4142841,5611158,4075952,7052544,2278967,606,375,230,80,67,90,55,74,144,94,151,2,2,4,5,440,318,288,14,183,108,109,157,33,False,0.7110000000000001,imputed_v4,,,117.6
20192,11440630,신수동,CS100003,일식음식점,3,103602994,59338232,44264761,13423343,11173633,14878211,5641989,17425638,30411698,10648479,62556,5,42,3184,76185046,27352158,66138347,37464647,8,3718027,15143136,39781043,26058623,18902154,1191,813,377,131,167,209,130,185,250,115,32,1,3,8,675,471,699,491,4,136,248,468,226,105,False,0.7110000000000001,imputed_v4,,,117.6
20192,11440655,서강동,CS100007,치킨전문점,7,359447611,272918897,86528713,47139366,45338398,56431588,50896347,63862213,42906308,52873389,69002153,21,583133,12255401,147485041,130121858,207504886,151942724,1148574,79214718,60201066,85136179,78432985,55314087,2260,1576,684,336,276,319,310,338,335,344,352,0,37,126,1050,692,1314,946,28,410,490,512,518,299,False,0.7110000000000001,imputed_v4,,,117.6
